name,formula_or_source,course_bucket,intent
ret_1d,close.pct_change(),base,Daily pct return; primary momentum signal
logret_1d,log(close/close.shift(1)),base,"Log return; additive over horizons, approx normal"
ret_5d,logret_1d.rolling(5).sum(),base,5-day cumulative log return; weekly momentum
ret_10d,logret_1d.rolling(10).sum(),base,10-day cumulative log return; bi-weekly momentum
ret_20d,logret_1d.rolling(20).sum(),base,20-day cumulative log return; monthly momentum
ret_60d,logret_1d.rolling(60).sum(),base,60-day cumulative log return; quarterly momentum
vol_20d,logret_1d.rolling(20).std(),base,20-day realised vol; regime conditioning
vol_60d,logret_1d.rolling(60).std(),base,60-day realised vol; long-run vol baseline
parkinson_20d,sqrt(sum(log(H/L)^2)/(4*ln2*N)),base,Parkinson HL vol; more efficient than CC vol
garman_klass_20d,sqrt(0.5*(log H/L)^2-(2ln2-1)*(log C/O)^2),base,Garman-Klass OHLC vol estimator
vol_of_vol_20d,vol_20d.rolling(20).std(),base,Volatility-of-vol; signals regime transitions
vol_ratio_5_60,vol_5d / vol_60d,base,Short/long vol ratio; >1 signals vol expansion
volume_z_20d,"(volume - roll_mean) / roll_std, W=20",base,Volume anomaly; spikes precede breakouts
oi_z_60d,"(OI - roll_mean) / roll_std, W=60",base,OI z-score; positioning build/unwind
oi_change_5d,OI.pct_change(5),base,5-day OI change; contract roll or new positioning
volume_oi_ratio,volume / open_interest,base,Turnover ratio; high = speculative activity
rsi_14,"Wilder RSI, period=14",TA,Overbought/oversold momentum oscillator
macd,EMA(12) - EMA(26),TA,MACD line; trend-following signal
macd_signal,"EMA(macd, 9)",TA,MACD signal line; crossover trigger
macd_hist,macd - macd_signal,TA,MACD histogram; momentum acceleration
bb_width_20,"(upper-lower)/mid, W=20",TA,Bollinger Band width; vol proxy for squeeze breakouts
bb_pos_20,"(close-lower)/(upper-lower), W=20",TA,Bollinger %B; relative position within band
atr_14,"Wilder ATR, period=14",TA,True range; used by Part 2 for barrier sizing
adx_14,"Wilder ADX, period=14",TA,Trend strength; ADX>25 signals trending regime
dd_from_60d_high,close/rolling_max(60)-1,base,Drawdown from 60d high; tail-risk conditioning
runup_from_60d_low,close/rolling_min(60)-1,base,Run-up from 60d low; momentum from trough
days_since_60d_high,bars since rolling-60 argmax,base,Trend staleness; long lag = weakening trend
trend_tstat_10,"OLS slope t-stat, H=10, backward",Lecture 1,Short-term trend strength
trend_tstat_20,"OLS slope t-stat, H=20, backward",Lecture 1,Medium-term trend strength
trend_tstat_60,"OLS slope t-stat, H=60, backward",Lecture 1,Long-term trend strength
trend_tstat_best,"argmax |t| across H in {10,20,60}",Lecture 1,Best-fit trend t-stat (max-|t| selection)
trend_H_best,H at argmax |t|,Lecture 1,Optimal trend horizon; characterises trend duration
energy_basket_ret_5d,cross-sectional mean of 5d logret,domain (energy),Energy complex 5d momentum
energy_basket_vol_20d,cross-sectional mean of 20d vol,domain (energy),Energy complex volatility level
rel_ret_vs_basket_5d,inst_5d_ret - basket_5d_ret,domain (energy),Relative momentum vs energy basket
corr_to_basket_60d,60d rolling corr with basket mean ret,domain (energy),Idiosyncratic vs systematic energy exposure
crack_321_proxy,(2*rb_ret+ho_ret)/3 - cl_ret,domain (energy),3-2-1 crack spread return; refinery margin proxy
crack_321_z_60d,"z-score of crack_321, W=60",domain (energy),Crack spread anomaly; drives energy complex moves
ho_cl_spread,log(ho_close/cl_close),domain (energy),Heating oil premium; seasonal demand indicator
rb_cl_spread,log(rb_close/cl_close),domain (energy),Gasoline premium; driving season indicator
month_sin,sin(2*pi*month/12),seasonality,Cyclical month encoding
month_cos,cos(2*pi*month/12),seasonality,Cyclical month encoding
dow_sin,sin(2*pi*dow/5),seasonality,Day-of-week cycle
dow_cos,cos(2*pi*dow/5),seasonality,Day-of-week cycle
winter_indicator,"1 if month in {11,12,1,2} else 0",seasonality,Heating demand season flag
